编号,职位名称,公司名称,薪资,地址,发布时间
1,Java高级开发工程师,,上海-浦东新区,1.8-2.2万/月,06-01
2,Java开发工程师,,上海,,06-01
3,Java开发工程师,,上海,15-30万/年,06-01
4,Java开发工程师,,上海,1-1.5万/月,06-01
5,中级Java工程师,,上海-浦东新区,1.2-2万/月,06-01
6,java,,上海-浦东新区,1.5-2万/月,06-01
7,Java初级开发工程师,,上海,1.5-2万/月,06-01
8,Java工程师,,上海,1-1.6万/月,06-01
9,Java 开发工程师,,上海-浦东新区,0.7-1万/月,06-01
10,Java开发工程师,,上海-浦东新区,1-1.2万/月,06-01
11,高级Java开发工程师（全栈）19,,上海,2-2.5万/月,06-01
12,Java高级开发工程师,,上海,1.5-2万/月,06-01
13,Java研发工程师,,上海-浦东新区,1-1.2万/月,06-01
14,Java后端开发工程师,,上海,1.5-2万/月,06-01
15,Java开发工程师,,上海-静安区,1.3-1.8万/月,06-01
16,Java开发工程师,,上海-普陀区,1.4-2.4万/月,06-01
17,Java开发工程师,,上海-浦东新区,1.5-2万/月,06-01
18,Java中级开发工程师,,上海-嘉定区,1.2-1.8万/月,06-01
19,Java开发工程师,,上海-普陀区,6-8千/月,06-01
20,Java高级开发工程师（金融行业）,,上海-浦东新区,1.5-2.5万/月,06-01
21,中高级JAVA软件工程师,,上海-闵行区,1-1.5万/月,06-01
22,Java开发工程师,,上海-闵行区,1-2万/月,06-01
23,Java高级工程师（架构师方向）,,上海-浦东新区,2-2.8万/月,06-01
24,高级Java软件开发工程师（全国出差）,,上海-浦东新区,0.9-1.6万/月,06-01
25,Java中级开发工程师,,上海-浦东新区,1-1.5万/月,06-01
26,Java开发实习生,,上海-宝山区,3-4.5千/月,06-01
27,总公司-信息技术部-java开发工程师,,上海-浦东新区,15-20万/年,06-01
28,Java中级开发工程师,,上海-宝山区,0.8-1.6万/月,06-01
29,JAVA开发工程师,,上海-杨浦区,1-1.2万/月,06-01
30,Java中级开发工程师,,上海,1-1.5万/月,06-01
31,JAVA开发工程师（青浦区）,,上海-青浦区,0.5-1万/月,06-01
32,Java开发工程师,,上海-杨浦区,1-1.5万/月,06-01
33,Java高级开发工程师,,上海-杨浦区,2-3万/月,06-01
34,java开发经理（网络金融）,,上海-长宁区,2-2.5万/月,06-01
35,Java高级开发工程师,,异地招聘,1.3-1.6万/月,06-01
36,Java开发工程师,,上海-浦东新区,0.8-1万/月,06-01
37,Java开发工程师-(J10316),,上海-浦东新区,1-1.5万/月,06-01
38,Java高级开发工程师,,上海,1.8-2.6万/月,06-01
39,Java中级开发工程师,,上海-闵行区,0.8-1.2万/月,06-01
40,Java高级开发工程师,,上海-浦东新区,1-2万/月,06-01
41,Java高级开发工程师,,上海-浦东新区,1.4-2.8万/月,06-01
42,数字化平台开发工程师（java）,,上海-杨浦区,1.2-1.8万/月,06-01
43,资深Java开发,,上海-普陀区,1.3-1.8万/月,06-01
44,Java高级开发工程师,,上海-徐汇区,2-3万/月,06-01
45,Java开发工程师,,上海-徐汇区,1.5-2万/月,06-01
46,JAVA软件开发工程师,,上海-徐汇区,0.8-2.5万/月,06-01
47,高级Java软件工程师（上海））,,上海-黄浦区,1.5-2万/月,06-01
48,Java中级开发工程师,,上海-宝山区,6-8千/月,06-01
49,Java开发工程师,,上海-普陀区,12-20万/年,06-01
50,Java开发工程师,,上海-浦东新区,1-1.5万/月,06-01
51,Java开发高级工程师-南汇,,上海-浦东新区,1-1.5万/月,06-01
52,Java开发工程师,,上海-普陀区,2-3万/月,06-01
53,Java开发工程师,,上海-黄浦区,1.2-2万/月,06-01
54,Java高级软件开发工程师,,上海-杨浦区,1-1.5万/月,06-01
55,Java软件开发,,上海-浦东新区,1-1.5万/月,06-01
56,Java开发经理/项目经理,,上海-浦东新区,1.3-1.6万/月,06-01
57,高级Java开发工程师,,上海-浦东新区,1-1.8万/月,06-01
58,Java中高级开发工程师,,上海-杨浦区,0.8-1.5万/月,06-01
59,Java开发工程师,,上海-普陀区,0.6-2万/月,06-01
60,急：高级Java开发,,上海-长宁区,1.5-2.5万/月,06-01
61,Java技术经理,,上海-徐汇区,2-3万/月,06-01
62,Java高级开发工程师,,上海,1.3-1.8万/月,06-01
63,Java中级开发工程师,,上海-闵行区,1-1.5万/月,06-01
64,Java高级开发工程师/Java资深开发工程师,,上海-松江区,2-2.5万/月,06-01
65,JAVA软件工程师,,上海-杨浦区,0.9-1.3万/月,06-01
66,JAVA软件工程师,,上海-浦东新区,1.5-2万/月,06-01
67,高级java开发工程师(TL),,上海-奉贤区,1.2-2万/月,06-01
68,Java软件工程师,,上海-长宁区,0.8-1.6万/月,06-01
69,高级软件工程师(JAVA),,上海-徐汇区,1-1.5万/月,06-01
70,Java后台研发工程师,,上海,2.5-5万/月,06-01
71,Java开发工程师,,上海-杨浦区,1.5-2万/月,06-01
72,Java开发工程师,,异地招聘,0.6-1万/月,06-01
73,java高级工程师,,上海-浦东新区,1.5-2万/月,06-01
74,大数据Java工程师,,上海-徐汇区,1.5-2.1万/月,06-01
75,Java开发工程师,,上海-虹口区,,06-01
76,Java高级开发工程师,,上海-闵行区,1-1.5万/月,06-01
77,Java软件工程师-中级,,上海-浦东新区,0.9-1.5万/月,06-01
78,Java开发工程师,,上海-长宁区,0.8-1.5万/月,06-01
79,Java开发工程师,,上海-闵行区,1-2万/月,06-01
80,Java软件工程师,,上海-普陀区,1-1.5万/月,06-01
81,高级Java开发工程师（产品研发）,,上海-浦东新区,1.5-2.5万/月,06-01
82,Java软件工程师/高级软件开发工程师,,上海-浦东新区,1.5-3万/月,06-01
83,Java开发工程师-上市公司外包岗,,上海-徐汇区,1-2万/月,06-01
84,Java开发工程师,,上海-长宁区,1-1.2万/月,06-01
85,Java高级开发工程师,,上海,1.5-2万/月,06-01
86,JAVA开发工程师,,上海-长宁区,0.7-1.4万/月,06-01
87,Java开发工程师,,上海-闵行区,1.5-2万/月,06-01
88,高级Java 软件开发工程师,,上海-长宁区,0.8-1.2万/月,06-01
89,Java开发工程师,,上海-浦东新区,0.8-1.5万/月,06-01
90,Java高级开发工程师,,上海-闵行区,2-2.5万/月,06-01
91,JAVA程序开发（上海）,,上海-长宁区,,06-01
92,Java开发工程师,,上海-浦东新区,1-1.5万/月,06-01
93,Java开发工程师,,上海-长宁区,0.8-1万/月,06-01
94,Java开发工程师,,上海-徐汇区,0.7-1.1万/月,06-01
95,Java开发工程师,,上海-徐汇区,1-1.5万/月,06-01
96,Java高级开发工程师,,上海-静安区,1.5-2万/月,06-01
97,Java开发工程师,,上海,0.6-1万/月,06-01
98,资深Java开发工程师(J12190),,上海-浦东新区,1.8-2万/月,06-01
99,JAVA高级技术经理,,上海,2-2.5万/月,06-01
100,Java开发工程师,,上海-杨浦区,1.2-2.5万/月,06-01
101,Java中级开发工程师,,上海-杨浦区,0.8-1.5万/月,06-01
102,软件工程师JAVA,,上海-浦东新区,0.6-1.5万/月,06-01
103,Java开发工程师,,上海-浦东新区,1-1.5万/月,06-01
104,Java高级开发工程师,,上海-杨浦区,1.2-1.5万/月,06-01
105,高级java工程师,,上海-浦东新区,2-3万/月,06-01
106,JAVA开发工程师（常驻客户现场）,,上海-闵行区,1-1.5万/月,06-01
107,Java开发工程师,,上海-浦东新区,1-1.5万/月,06-01
108,Java开发工程师,,上海-浦东新区,4-7千/月,06-01
109,Java资深开发工程师,,上海-浦东新区,2-2.5万/月,06-01
110,Java中级开发工程师—外包岗,,上海-徐汇区,1-1.5万/月,06-01
111,高级java软件工程师（支付系统）,,上海-徐汇区,1.8-3万/月,06-01
112,Java高级软件工程师,,上海-闵行区,1-1.5万/月,06-01
113,Java开发工程师,,上海-闵行区,1.3-2万/月,06-01
114,Java开发工程师,,上海-静安区,1.5-2.5万/月,06-01
115,Java高级开发工程师,,上海-浦东新区,1-1.5万/月,06-01
116,Java高级开发工程师,,上海-嘉定区,1.8-2.3万/月,06-01
117,java开发工程师,,上海-宝山区,5-8千/月,06-01
118,Java中级开发工程师,,上海-静安区,1.2-2万/月,06-01
119,高级Java开发工程师,,上海-闵行区,1.8-2.5万/月,06-01
