编号,职位名,公司名,工作地点,薪资,发布时间
1,硬件测试工程师,创驱（上海）新能源科技有限公司,上海-松江区,10-20万/年,06-03
2,硬件测试工程师（电脑手机等电子设备测试）,上海阅维科技股份有限公司,上海-静安区,5-8千/月,06-03
3,硬件测试工程师,上海如鼎信息科技有限公司,上海-黄浦区,6-8千/月,06-03
4,硬件测试工程师,上海渡省电子技术有限公司,上海-闵行区,6-8千/月,06-03
5,硬件测试工程师,南京睿晖数据技术有限公司,上海-徐汇区,0.9-1.5万/月,06-03
6,高级硬件测试工程师/主管,上海豪成通讯科技有限公司,上海-徐汇区,0.8-1.8万/月,06-03
7,硬件测试工程师,中航空管系统装备有限公司,上海-闵行区,0.5-1万/月,06-03
8,硬件测试工程师,美格智能技术股份有限公司上海分公司,上海-闵行区,0.8-1.5万/月,06-03
9,硬件测试工程师,上海德朗能新能源有限公司,上海-奉贤区,5-8千/月,06-03
10,硬件测试工程师,上海宽翼通信科技股份有限公司,上海-徐汇区,0.7-1.5万/月,06-03
11,硬件测试工程师（平板/手机）,上海易教信息科技有限公司,上海-徐汇区,1-1.5万/月,06-03
12,硬件测试工程师,上海云相聚智能科技有限公司,上海-浦东新区,0.5-1万/月,06-03
13,硬件测试工程师,上海博强微电子有限公司,上海-松江区,6-8千/月,06-03
14,硬件测试工程师,上海沪工焊接集团股份有限公司,上海,0.5-1万/月,06-03
15,硬件测试工程师（空调控制器）,上海金脉电子科技有限公司,上海-浦东新区,0.8-1.2万/月,06-03
16,硬件测试工程师(整机方向),上海柏飞电子科技有限公司,上海,20-40万/年,06-03
17,硬件测试工程师,哲弗智能系统（上海）有限公司,上海-浦东新区,1.5-2.2万/月,06-03
18,高级硬件测试工程师（信号完整性）(J10102),华勤通讯技术有限公司,上海-浦东新区,1-1.5万/月,06-03
19,硬件测试工程师（2020应届生）,上海飞象健康科技有限公司,上海-闵行区,6-8千/月,06-03
20,硬件测试工程师,生迪智慧科技有限公司,上海-徐汇区,1-1.5万/月,06-03
21,电子硬件测试工程师,上海新研工业设备股份有限公司,上海-奉贤区,4-6千/月,06-03
22,硬件测试工程师,上海博达数据通信有限公司,上海-浦东新区,6-8千/月,06-03
23,硬件测试工程师（矽杰微电子）,国家智能传感器创新中心,上海-嘉定区,0.8-1.5万/月,06-03
24,硬件测试工程师(J11880),上海龙旗科技股份有限公司,上海-徐汇区,0.8-1万/月,06-03
25,硬件测试工程师,上海艾为电子技术股份有限公司,上海-闵行区,,06-03
26,硬件测试工程师,南京乐韵瑞信息技术有限公司上海分公司,上海-闵行区,0.5-1万/月,06-03
27,硬件测试工程师,上海零零智能科技有限公司,上海-闵行区,0.8-1万/月,06-03
28,硬件测试工程师,上海肇观电子科技有限公司,上海-浦东新区,12-24万/年,06-03
29,硬件测试工程师,上海瑞立柯信息技术有限公司,上海-徐汇区,0.8-1万/月,06-03
30,硬件测试工程师,上海砥探智能设备有限公司,上海-松江区,0.8-1万/月,06-03
31,硬件测试工程师,"达丰（上海）电脑有限公司 Tech-Front (Shanghai) Computer Co., Ltd",上海-松江区,6-8千/月,06-03
32,硬件测试工程师,上海鲲博通信技术有限公司,上海,6-8千/月,06-03
33,硬件测试工程师,上海英斯泊物联网有限公司,上海-浦东新区,6-8千/月,06-03
34,硬件测试工程师,北京湛腾世纪科技有限公司,上海-徐汇区,6-7千/月,06-03
35,基站硬件测试工程师,上海闻泰信息技术有限公司,上海-徐汇区,1.5-2.5万/月,06-03
36,硬件测试工程师,上海坤雷实业有限公司,上海-长宁区,6-8千/月,06-03
37,软硬件测试工程师,能得视医疗设备（上海）有限公司,上海-普陀区,0.7-1.5万/月,06-03
38,硬件测试工程师,上海剑桥科技股份有限公司,上海,1.2-2万/月,06-03
39,硬件测试工程师,上海移柯通信技术股份有限公司,上海-徐汇区,0.7-1万/月,06-03
40,电子硬件测试工程师,上海佳勒电子有限公司,上海-金山区,0.8-1万/月,06-03
41,硬件测试工程师,上海鲍麦克斯电子科技有限公司,上海,0.6-1万/月,06-03
42,硬件测试工程师/触摸屏测试工程师,上海数展文化创意有限公司,上海-闵行区,0.8-1.2万/月,06-03
43,硬件测试工程师,上海临滴科技有限公司,上海-闵行区,4.5-6千/月,06-03
44,硬件测试工程师/触摸屏测试工程师/测试工程师,上海上业信息科技股份有限公司,上海-闵行区,0.8-1.2万/月,06-03
45,硬件测试工程师,上海威固信息技术股份有限公司,上海-青浦区,0.8-1万/月,06-03
46,研发中心--硬件测试工程师(电子信息应届毕业生),芯发威达电子（上海）有限公司,上海-闵行区,6-8千/月,06-03
47,硬件测试工程师,上海先茂电子科技有限公司,上海-浦东新区,0.8-1.5万/月,06-03
48,硬件测试工程师,艾伏新能源科技（上海）股份有限公司,上海,6-8千/月,06-03
49,硬件测试工程师,上海军陶电源设备有限公司,上海-浦东新区,6-15万/年,06-03
50,硬件测试工程师(上海）,东莞信宝电子产品检测有限公司,上海-浦东新区,5-7千/月,06-03
51,硬件测试工程师,创驱（上海）新能源科技有限公司,上海-松江区,10-20万/年,06-03
52,硬件测试工程师（电脑手机等电子设备测试）,上海阅维科技股份有限公司,上海-静安区,5-8千/月,06-03
53,硬件测试工程师,上海如鼎信息科技有限公司,上海-黄浦区,6-8千/月,06-03
54,硬件测试工程师,上海渡省电子技术有限公司,上海-闵行区,6-8千/月,06-03
55,硬件测试工程师,南京睿晖数据技术有限公司,上海-徐汇区,0.9-1.5万/月,06-03
56,高级硬件测试工程师/主管,上海豪成通讯科技有限公司,上海-徐汇区,0.8-1.8万/月,06-03
57,硬件测试工程师,中航空管系统装备有限公司,上海-闵行区,0.5-1万/月,06-03
58,硬件测试工程师,美格智能技术股份有限公司上海分公司,上海-闵行区,0.8-1.5万/月,06-03
59,硬件测试工程师,上海德朗能新能源有限公司,上海-奉贤区,5-8千/月,06-03
60,硬件测试工程师,上海宽翼通信科技股份有限公司,上海-徐汇区,0.7-1.5万/月,06-03
61,硬件测试工程师（平板/手机）,上海易教信息科技有限公司,上海-徐汇区,1-1.5万/月,06-03
62,硬件测试工程师,上海云相聚智能科技有限公司,上海-浦东新区,0.5-1万/月,06-03
63,硬件测试工程师,上海博强微电子有限公司,上海-松江区,6-8千/月,06-03
64,硬件测试工程师,上海沪工焊接集团股份有限公司,上海,0.5-1万/月,06-03
65,硬件测试工程师（空调控制器）,上海金脉电子科技有限公司,上海-浦东新区,0.8-1.2万/月,06-03
66,硬件测试工程师(整机方向),上海柏飞电子科技有限公司,上海,20-40万/年,06-03
67,硬件测试工程师,哲弗智能系统（上海）有限公司,上海-浦东新区,1.5-2.2万/月,06-03
68,高级硬件测试工程师（信号完整性）(J10102),华勤通讯技术有限公司,上海-浦东新区,1-1.5万/月,06-03
69,硬件测试工程师（2020应届生）,上海飞象健康科技有限公司,上海-闵行区,6-8千/月,06-03
70,硬件测试工程师,生迪智慧科技有限公司,上海-徐汇区,1-1.5万/月,06-03
71,电子硬件测试工程师,上海新研工业设备股份有限公司,上海-奉贤区,4-6千/月,06-03
72,硬件测试工程师,上海博达数据通信有限公司,上海-浦东新区,6-8千/月,06-03
73,硬件测试工程师（矽杰微电子）,国家智能传感器创新中心,上海-嘉定区,0.8-1.5万/月,06-03
74,硬件测试工程师(J11880),上海龙旗科技股份有限公司,上海-徐汇区,0.8-1万/月,06-03
75,硬件测试工程师,上海艾为电子技术股份有限公司,上海-闵行区,,06-03
76,硬件测试工程师,南京乐韵瑞信息技术有限公司上海分公司,上海-闵行区,0.5-1万/月,06-03
77,硬件测试工程师,上海零零智能科技有限公司,上海-闵行区,0.8-1万/月,06-03
78,硬件测试工程师,上海肇观电子科技有限公司,上海-浦东新区,12-24万/年,06-03
79,硬件测试工程师,上海瑞立柯信息技术有限公司,上海-徐汇区,0.8-1万/月,06-03
80,硬件测试工程师,上海砥探智能设备有限公司,上海-松江区,0.8-1万/月,06-03
81,硬件测试工程师,"达丰（上海）电脑有限公司 Tech-Front (Shanghai) Computer Co., Ltd",上海-松江区,6-8千/月,06-03
82,硬件测试工程师,上海鲲博通信技术有限公司,上海,6-8千/月,06-03
83,硬件测试工程师,上海英斯泊物联网有限公司,上海-浦东新区,6-8千/月,06-03
84,硬件测试工程师,北京湛腾世纪科技有限公司,上海-徐汇区,6-7千/月,06-03
85,基站硬件测试工程师,上海闻泰信息技术有限公司,上海-徐汇区,1.5-2.5万/月,06-03
