编号	职位名	公司名	工作地点	薪资	发布时间
1	自动化测试工程师	“前程无忧”51job.com（上海）	上海-浦东新区		6月2日
2	软件测试工程师	上海訾昶电子商务有限公司	上海-徐汇区	6-8千/月	6月3日
3	软件测试工程师	上海井星信息科技有限公司	上海-长宁区	1-1.5万/月	6月3日
4	软件测试工程师	北京飞音时代技术有限公司	上海-杨浦区	0.8-1.5万/月	6月3日
5	软件测试工程师	上海济沧海智能科技有限公司	上海-松江区	0.8-2万/月	6月3日
6	软件测试工程师	越田（上海）信息科技有限公司	上海	6-8千/月	6月3日
7	软件测试工程师	中科创达软件股份有限公司	上海	6月3日	
8	软件测试工程师	上海国芮信息科技有限公司	上海-黄浦区	0.8-1万/月	6月3日
9	高级软件测试工程师	竹间智能科技（上海）有限公司	上海	1.5-3万/月	6月3日
10	软件测试工程师（实习生）	上海纵骥信息科技有限公司	上海-徐汇区	150元/天	6月3日
11	软件测试工程师	上海汉朔信息科技有限公司	上海	1-1.5万/月	6月3日
12	软件测试工程师	上海软中信息技术有限公司	上海-徐汇区	0.6-1.4万/月	6月3日
13	软件测试工程师	上海慧承文化进修学院	上海-普陀区	0.8-1.4万/月	6月3日
14	软件测试工程师	上海商睿智能科技有限公司	上海-杨浦区	3-4.5千/月	6月3日
15	软件测试工程师	深圳市网新新思软件有限公司	上海-浦东新区	1-2万/月	6月3日
16	软件测试工程师	上海东福网络科技有限公司	上海	1.8-2.5万/月	6月3日
17	软件测试工程师	鉴付安（上海）网络科技股份有限公司	上海-长宁区	0.8-1.2万/月	6月3日
18	数据仓库软件测试工程师	上海有大信息科技有限公司	上海	1-1.5万/月	6月3日
19	软件测试工程师	上海海高通信股份有限公司	上海-杨浦区	4.5-6千/月	6月3日
20	软件测试工程师（编号 02）	上海复深蓝软件股份有限公司	上海-崇明区	0.8-1.2万/月	6月3日
21	软件测试工程师	驴妈妈旅游网	上海-嘉定区	1-1.5万/月	6月3日
22	软件测试工程师	上海梯度信息技术有限公司	上海	0.8-1.5万/月	6月3日
23	软件测试工程师	上海陌远网络科技有限公司	上海-徐汇区	6-8千/月	6月3日
24	软件测试工程师	上海千熠信息科技有限公司	上海-虹口区	1-1.5万/月	6月3日
25	软件测试工程师（金融方向）	上海金指软件技术有限公司	上海-浦东新区	1-1.5万/月	6月3日
26	软件测试工程师	上海营康计算机科技有限公司	上海-宝山区	0.8-1万/月	6月3日
27	软件测试工程师	上海天臣防伪技术股份有限公司	上海-松江区	6-8千/月	6月3日
28	软件测试工程师	上海东富龙智能控制技术有限公司	上海-闵行区	0.5-2万/月	6月3日
29	软件测试工程师	上海冠能信息科技有限公司	上海-杨浦区	6-8千/月	6月3日
30	软件测试工程师	上海舟恩信息技术有限公司	上海	0.9-1.5万/月	6月3日
31	软件测试工程师	上海迄盼信息技术有限公司	上海-长宁区	0.8-1万/月	6月3日
32	软件测试工程师	上海三高计算机中心股份有限公司	上海-杨浦区	0.6-1万/月	6月3日
33	软件测试工程师	上海市软件评测中心有限公司	上海-徐汇区	6-8千/月	6月3日
34	软件测试工程师	上海旭宽文化传播有限责任公司	上海-浦东新区	1.3-2.2万/月	6月3日
35	软件测试工程师	上海鼎格信息科技有限公司	上海-浦东新区	0.7-1.6万/月	6月3日
36	高级软件测试工程师	上海尊蓝信息技术有限公司	上海	0.6-1万/月	6月3日
37	软件测试工程师	浦江智谷商务园	上海-闵行区	0.8-1.5万/月	6月3日
38	软件测试工程师	端云信息技术（上海）有限公司	上海-浦东新区	0.8-1.2万/月	6月3日
39	软件测试工程师（上海）	芯和半导体科技（上海）有限公司	上海	6月3日	
40	软件测试工程师	上海普坤信息科技有限公司	上海	1.2-2万/月	6月3日
41	高级软件测试工程师	上海御微半导体技术有限公司	上海-浦东新区	1.5-2.5万/月	6月3日
42	软件测试工程师	上海仁维软件有限公司	上海	0.8-1万/月	6月3日
43	软件测试工程师（2020应届毕业生）	意盟软件系统开发（上海）有限公司	上海-静安区	0.8-1万/月	6月3日
44	软件测试工程师（医疗仪器）	星童医疗技术（上海）有限公司	上海-浦东新区	0.7-1.3万/月	6月3日
45	软件测试工程师	上海宽翼通信科技股份有限公司	上海-徐汇区	0.7-1.5万/月	6月3日
46	软件测试工程师	上海云相聚智能科技有限公司	上海-浦东新区	0.6-1万/月	6月3日
47	软件测试工程师（接受实习生）	上海盟鼎网络科技有限公司	上海-浦东新区	4-7千/月	6月3日
48	软件测试工程师	上海基煜基金销售有限公司	上海-杨浦区	1.4-1.6万/月	6月3日
49	张江 软件测试工程师	上海北辰软件股份有限公司	上海-浦东新区	6-8千/月	6月3日
50	软件测试工程师	上海锐承通讯技术有限公司	上海-浦东新区	0.6-1.2万/月	6月3日
51	软件测试工程师	上海传墨信息科技有限公司	上海-浦东新区	0.6-1万/月	6月3日
52	自动化测试工程师	“前程无忧”51job.com（上海）	上海-浦东新区	6月2日	
53	软件测试工程师	上海訾昶电子商务有限公司	上海-徐汇区	6-8千/月	6月3日
54	软件测试工程师	上海井星信息科技有限公司	上海-长宁区	1-1.5万/月	6月3日
55	软件测试工程师	北京飞音时代技术有限公司	上海-杨浦区	0.8-1.5万/月	6月3日
56	软件测试工程师	上海济沧海智能科技有限公司	上海-松江区	0.8-2万/月	6月3日
57	软件测试工程师	越田（上海）信息科技有限公司	上海	6-8千/月	6月3日
58	软件测试工程师	中科创达软件股份有限公司	上海	6月3日	
59	软件测试工程师	上海国芮信息科技有限公司	上海-黄浦区	0.8-1万/月	6月3日
60	高级软件测试工程师	竹间智能科技（上海）有限公司	上海	1.5-3万/月	6月3日
61	软件测试工程师（实习生）	上海纵骥信息科技有限公司	上海-徐汇区	150元/天	6月3日
62	软件测试工程师	上海汉朔信息科技有限公司	上海	1-1.5万/月	6月3日
63	软件测试工程师	上海软中信息技术有限公司	上海-徐汇区	0.6-1.4万/月	6月3日
64	软件测试工程师	上海慧承文化进修学院	上海-普陀区	0.8-1.4万/月	6月3日
65	软件测试工程师	上海商睿智能科技有限公司	上海-杨浦区	3-4.5千/月	6月3日
66	软件测试工程师	深圳市网新新思软件有限公司	上海-浦东新区	1-2万/月	6月3日
67	软件测试工程师	上海东福网络科技有限公司	上海	1.8-2.5万/月	6月3日
68	软件测试工程师	鉴付安（上海）网络科技股份有限公司	上海-长宁区	0.8-1.2万/月	6月3日
69	数据仓库软件测试工程师	上海有大信息科技有限公司	上海	1-1.5万/月	6月3日
70	软件测试工程师	上海海高通信股份有限公司	上海-杨浦区	4.5-6千/月	6月3日
71	软件测试工程师（编号 02）	上海复深蓝软件股份有限公司	上海-崇明区	0.8-1.2万/月	6月3日
72	软件测试工程师	驴妈妈旅游网	上海-嘉定区	1-1.5万/月	6月3日
73	软件测试工程师	上海梯度信息技术有限公司	上海	0.8-1.5万/月	6月3日
74	软件测试工程师	上海陌远网络科技有限公司	上海-徐汇区	6-8千/月	6月3日
75	软件测试工程师	上海千熠信息科技有限公司	上海-虹口区	1-1.5万/月	6月3日
76	软件测试工程师（金融方向）	上海金指软件技术有限公司	上海-浦东新区	1-1.5万/月	6月3日
77	软件测试工程师	上海营康计算机科技有限公司	上海-宝山区	0.8-1万/月	6月3日
78	软件测试工程师	上海天臣防伪技术股份有限公司	上海-松江区	6-8千/月	6月3日
79	软件测试工程师	上海东富龙智能控制技术有限公司	上海-闵行区	0.5-2万/月	6月3日
80	软件测试工程师	上海冠能信息科技有限公司	上海-杨浦区	6-8千/月	6月3日
81	软件测试工程师	上海舟恩信息技术有限公司	上海	0.9-1.5万/月	6月3日
82	软件测试工程师	上海迄盼信息技术有限公司	上海-长宁区	0.8-1万/月	6月3日
83	软件测试工程师	上海三高计算机中心股份有限公司	上海-杨浦区	0.6-1万/月	6月3日
84	软件测试工程师	上海市软件评测中心有限公司	上海-徐汇区	6-8千/月	6月3日
85	软件测试工程师	上海旭宽文化传播有限责任公司	上海-浦东新区	1.3-2.2万/月	6月3日
86	软件测试工程师	上海鼎格信息科技有限公司	上海-浦东新区	0.7-1.6万/月	6月3日
87	高级软件测试工程师	上海尊蓝信息技术有限公司	上海	0.6-1万/月	6月3日
88	软件测试工程师	浦江智谷商务园	上海-闵行区	0.8-1.5万/月	6月3日
89	软件测试工程师	端云信息技术（上海）有限公司	上海-浦东新区	0.8-1.2万/月	6月3日
90	软件测试工程师（上海）	芯和半导体科技（上海）有限公司	上海	6月3日	
91	软件测试工程师	上海普坤信息科技有限公司	上海	1.2-2万/月	6月3日
92	高级软件测试工程师	上海御微半导体技术有限公司	上海-浦东新区	1.5-2.5万/月	6月3日
93	软件测试工程师	上海仁维软件有限公司	上海	0.8-1万/月	6月3日
94	软件测试工程师（2020应届毕业生）	意盟软件系统开发（上海）有限公司	上海-静安区	0.8-1万/月	6月3日
95	软件测试工程师（医疗仪器）	星童医疗技术（上海）有限公司	上海-浦东新区	0.7-1.3万/月	6月3日
96	软件测试工程师	上海宽翼通信科技股份有限公司	上海-徐汇区	0.7-1.5万/月	6月3日
97	软件测试工程师	上海云相聚智能科技有限公司	上海-浦东新区	0.6-1万/月	6月3日
98	软件测试工程师（接受实习生）	上海盟鼎网络科技有限公司	上海-浦东新区	4-7千/月	6月3日
99	软件测试工程师	上海基煜基金销售有限公司	上海-杨浦区	1.4-1.6万/月	6月3日
100	张江 软件测试工程师	上海北辰软件股份有限公司	上海-浦东新区	6-8千/月	6月3日
101	软件测试工程师	上海锐承通讯技术有限公司	上海-浦东新区	0.6-1.2万/月	6月3日
102	软件测试工程师	上海传墨信息科技有限公司	上海-浦东新区	0.6-1万/月	6月3日
103	自动化测试工程师	“前程无忧”51job.com（上海）	上海-浦东新区	6月2日	
104	软件测试工程师	上海訾昶电子商务有限公司	上海-徐汇区	6-8千/月	6月3日
105	软件测试工程师	上海井星信息科技有限公司	上海-长宁区	1-1.5万/月	6月3日
106	软件测试工程师	北京飞音时代技术有限公司	上海-杨浦区	0.8-1.5万/月	6月3日
107	软件测试工程师	上海济沧海智能科技有限公司	上海-松江区	0.8-2万/月	6月3日
108	软件测试工程师	越田（上海）信息科技有限公司	上海	6-8千/月	6月3日
109	软件测试工程师	中科创达软件股份有限公司	上海	6月3日	
110	软件测试工程师	上海国芮信息科技有限公司	上海-黄浦区	0.8-1万/月	6月3日
111	高级软件测试工程师	竹间智能科技（上海）有限公司	上海	1.5-3万/月	6月3日
112	软件测试工程师（实习生）	上海纵骥信息科技有限公司	上海-徐汇区	150元/天	6月3日
