编号,职位名,公司名,工作地点,薪资,发布时间
1,自动化测试工程师,“前程无忧”51job.com（上海）,上海-浦东新区,,06-19
2,软件测试工程师,上海海高通信股份有限公司,上海-杨浦区,4.5-6千/月,06-19
3,软件测试工程师,上海市软件评测中心有限公司,上海-徐汇区,6-8千/月,06-19
4,软件测试工程师,南京廷桥信息技术有限公司,上海-浦东新区,0.8-1.1万/月,06-19
5,软件测试工程师,纮华电子科技（上海）有限公司,上海-嘉定区,6-8千/月,06-19
6,软件测试工程师,苏州益发特科技有限公司,上海-徐汇区,0.9-1.5万/月,06-19
7,软件测试工程师,上海三高计算机中心股份有限公司,上海-杨浦区,0.6-1万/月,06-19
8,软件测试工程师,上海数岳信息科技有限公司,上海-浦东新区,1-1.2万/月,06-19
9,软件测试工程师（需出差）,上海科领软件技术有限公司,上海-徐汇区,4-7千/月,06-19
10,软件测试工程师,中科创达软件股份有限公司,上海,,06-19
11,软件测试工程师,上海五蕴信息科技有限公司,上海-黄浦区,1-1.5万/月,06-19
12,软件测试工程师,上海普坤信息科技有限公司,上海,1.2-2万/月,06-19
13,高级软件测试工程师,上海御微半导体技术有限公司,上海-浦东新区,1.5-2.5万/月,06-19
14,软件测试工程师,上海智觅智能科技有限公司,上海-徐汇区,1-1.5万/月,06-19
15,软件测试工程师,浙江优创信息技术有限公司,上海-浦东新区,6-9千/月,06-19
16,软件测试工程师,上海斐德通信科技有限公司,上海-徐汇区,5-7千/月,06-19
17,软件测试工程师,上海天臣防伪技术股份有限公司,上海-杨浦区,6-8千/月,06-19
18,软件测试工程师,上海舟恩信息技术有限公司,上海,0.9-1.5万/月,06-19
19,软件测试工程师,上海井星信息科技有限公司,上海-长宁区,1-1.5万/月,06-19
20,软件测试工程师,上海汽车集团股份有限公司,上海-嘉定区,35-60万/年,06-19
21,软件测试工程师,上海迄盼信息技术有限公司,上海-徐汇区,0.8-1万/月,06-19
22,软件测试工程师,上海持悦网络科技有限公司,上海-长宁区,5-7千/月,06-19
23,软件测试工程师,上海腾华软件技术有限公司,上海-杨浦区,0.8-1.2万/月,06-19
24,MCU软件测试工程师,上海金脉电子科技有限公司,上海-浦东新区,15-35万/年,06-19
25,软件测试工程师,上海国芮信息科技有限公司,上海-黄浦区,0.8-1万/月,06-19
26,软件测试工程师,上海德拓信息技术股份有限公司,上海-宝山区,0.7-1万/月,06-19
27,软件测试工程师,中邮科技有限责任公司,上海-普陀区,20-35万/年,06-19
28,软件测试工程师 Graduate Software Testing,菲缔信息科技（上海）有限公司,上海-静安区,1-1.5万/月,06-19
29,软件测试工程师,上海维宏电子科技股份有限公司,上海-奉贤区,6-8千/月,06-19
30,软件测试工程师,深圳市财富趋势科技股份有限公司,上海-静安区,0.6-1万/月,06-19
31,软件测试工程师,上海旭立信息技术有限公司,上海-杨浦区,0.8-1万/月,06-19
32,多媒体软件测试工程师,上海现代摩比斯汽车零部件有限公司,上海,10-15万/年,06-19
33,软件测试工程师,上海占方信息科技有限公司,上海-静安区,6-8千/月,06-19
34,软件测试工程师,麒盛科技股份有限公司,异地招聘,0.6-1.2万/月,06-19
35,软件测试工程师,上海映驰科技有限公司,上海-徐汇区,1-1.5万/月,06-19
36,汽车电子软件测试工程师,上海北汇信息科技有限公司,上海,0.6-2万/月,06-19
37,软件测试工程师,英立视数码电视集团,上海-闵行区,0.5-1.5万/月,06-19
38,软件测试工程师,格林豪泰酒店（中国）有限公司,上海-长宁区,1-1.5万/月,06-19
39,软件测试工程师,上海艾为电子技术股份有限公司,上海-闵行区,,06-19
40,软件测试工程师,公安部第三研究所信息安全技术处,上海-浦东新区,1.5-2万/月,06-19
41,高级软件测试工程师,上海弼博信息技术有限公司,上海-静安区,1.5-2万/月,06-19
42,手机软件测试工程师,上海卓易科技股份有限公司,上海-徐汇区,5-7千/月,06-19
43,软件测试工程师,上海陌远网络科技有限公司,上海-徐汇区,6-8千/月,06-19
44,软件测试工程师,顺沃企业管理咨询（上海）有限公司,上海-浦东新区,6-8千/月,06-19
45,软件测试工程师,上海溪湃智能科技有限公司,上海-普陀区,1-1.5万/月,06-19
46,软件测试工程师,上海微盼智能科技有限公司,上海-浦东新区,0.8-1万/月,06-19
47,软件测试工程师,上海柏维信息技术有限公司,上海-嘉定区,0.8-1.9万/月,06-19
48,软件测试工程师,上海沣海智能科技有限公司,上海-黄浦区,0.8-1万/月,06-19
49,软件测试工程师,上海翊缃智能科技有限公司,上海-长宁区,6-8千/月,06-19
50,软件测试工程师,科升通讯（苏州）有限公司,上海-浦东新区,0.8-1.3万/月,06-19
51,软件测试工程师,优文途新科技（上海）有限公司,上海-普陀区,5-8千/月,06-19
52,自动化测试工程师,“前程无忧”51job.com（上海）,上海-浦东新区,,06-19
53,软件测试工程师,上海海高通信股份有限公司,上海-杨浦区,4.5-6千/月,06-19
54,软件测试工程师,上海市软件评测中心有限公司,上海-徐汇区,6-8千/月,06-19
55,软件测试工程师,南京廷桥信息技术有限公司,上海-浦东新区,0.8-1.1万/月,06-19
56,软件测试工程师,纮华电子科技（上海）有限公司,上海-嘉定区,6-8千/月,06-19
57,软件测试工程师,苏州益发特科技有限公司,上海-徐汇区,0.9-1.5万/月,06-19
58,软件测试工程师,上海三高计算机中心股份有限公司,上海-杨浦区,0.6-1万/月,06-19
59,软件测试工程师,上海数岳信息科技有限公司,上海-浦东新区,1-1.2万/月,06-19
60,软件测试工程师（需出差）,上海科领软件技术有限公司,上海-徐汇区,4-7千/月,06-19
61,软件测试工程师,中科创达软件股份有限公司,上海,,06-19
62,软件测试工程师,上海五蕴信息科技有限公司,上海-黄浦区,1-1.5万/月,06-19
63,软件测试工程师,上海普坤信息科技有限公司,上海,1.2-2万/月,06-19
64,高级软件测试工程师,上海御微半导体技术有限公司,上海-浦东新区,1.5-2.5万/月,06-19
65,软件测试工程师,上海智觅智能科技有限公司,上海-徐汇区,1-1.5万/月,06-19
